rating,stock,price,writer,genre,published_by,plot_summary,book_title
4.6,In Stock.,21.99,Daniel Kahneman,"[""Books"",""Business & Money"",""Management & Leadership""]",-OnTimeBooks-,"Daniel Kahneman's *Thinking, Fast and Slow* explains how our minds operate through two distinct systems – a fast, intuitive System 1 and a slow, deliberate System 2 – and how the interplay between them leads to both brilliant insights and predictable errors.","Thinking, Fast and Slow"
4.8,In Stock.,5.47,Bonnie Worth,"[""Books"",""Children's Books"",""Literature & Fiction""]",Amazon,"Through rhyming verses and the Cat in the Hat's guidance, this book explores the fascinating world of dinosaurs, covering their types, diets, and extinction.",Oh Say Can You Say Di-no-saur?: All About Dinosaurs (Cat in the Hat's Learning Library)
4.5,In Stock.,9.7,Stieg Larsson,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",-OnTimeBooks-,A disgraced journalist and a brilliant but troubled hacker team up to solve a decades-old disappearance and unearth a dark family history.,The Girl with the Dragon Tattoo (Millennium Series)
4.8,In Stock.,20.99,Brandon Sanderson,"[""Books"",""Literature & Fiction"",""Action & Adventure""]",Amazon,"In the midst of a world-shattering war, Kaladin grapples with his personal demons and the overwhelming responsibility of leadership, while Dalinar unites nations against a common enemy, all as the fate of Roshar hangs precariously in the balance.","Rhythm of War: Book Four of The Stormlight Archive (The Stormlight Archive, 4)"
4.7,,,by George orwell (Author) Format: Kindle Edition,"[""Books"",""Literature & Fiction"",""History & Criticism""]",Amazon,"Kindle Edition: In George Orwell's *Animal Farm*, a group of farm animals overthrow their human farmer, only to be led by pigs into an even more oppressive and unequal society.",Animal Farm
4.8,,,"Sarah J. Maas (Author), Elizabeth Evans (Narrator), Bloomsbury Publishing Plc (Publisher) & 0 more","[""Books"",""Teen & Young Adult"",""Literature & Fiction"",""Action & Adventure"",""Fantasy""]",Amazon,Celaena Sardothien must confront her past and embrace her destiny as the Heir of Fire to defeat ancient enemies threatening Erilea.,"Heir of Fire: Throne of Glass, Book 3"
4.8,In Stock.,11.04,"by Valorie Schaefer (Author), Josee Masse (Illustrator)","[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",-OnTimeBooks-,"This revised edition of ""The Care and Keeping of You"" offers a friendly and comprehensive guide for younger girls to understand and navigate the physical and emotional changes of growing up.","The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)"
4.9,In Stock.,6.98,Julia Donaldson,"[""Books"",""Children's Books"",""Science Fiction & Fantasy""]",Amazon,"A kind witch and her cat are joined by three other animals on their broom, but when the broom breaks, they must find a way to get home together.",Room on the Broom
4.7,,,Deborah Harkness,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"In the captivating conclusion to the All Souls Trilogy, Diana and Matthew race against time and forbidden magic to secure their future and the balance of the supernatural world.","The Book of Life: A Novel (All Souls Trilogy, Book 3)"
4.7,In Stock.,9.84,Heather Morris,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Marc Massengale,"Cilka's Journey follows the harrowing yet hopeful story of a young Slovakian woman who survives Auschwitz and is subsequently sent to the Soviet Gulag, where she finds strength and purpose in caring for others.",Cilka's Journey
4.7,Only 1 left in stock - order soon.,18.95,Mary Ann ShafferAnnie Barrows,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",DANO PRODUCTSDANO PRODUCTSVivé Liber Books LLC,"The novel follows a writer who forms a literary society with the residents of Guernsey Island after World War II, uncovering their wartime experiences and the power of literature.",The Guernsey Literary and Potato Peel Pie Society: A Novel
4.8,,,"J.K. Rowling (Author), Stephen Fry (Narrator), Pottermore Publishing (Publisher) & 0 more","[""Books"",""Teen & Young Adult"",""Science Fiction & Fantasy"",""Fantasy"",""Epic""]",Amazon,"In his second year at Hogwarts, Harry Potter must uncover the secrets of a mysterious diary and stop a monster from petrifying students.","Harry Potter and the Chamber of Secrets, Book 2"
4.7,In Stock.,19.78,Leigh Bardugo,"[""Books"",""Teen & Young Adult"",""Science Fiction & Fantasy""]",Amazon,"In a world divided by a magical barrier, a young cartographer discovers a hidden power that could save her war-torn country, but also makes her a target of dark forces.","The Shadow and Bone Trilogy Boxed Set: Shadow and Bone, Siege and Storm, Ruin and Rising"
4.7,,,Heather Morris,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"In *Cilka's Journey*, Heather Morris tells the story of Cilka, a young woman who survives Auschwitz only to be sent to the Soviet Gulag, where she must again find the strength and resilience to endure unimaginable hardship and discover hope.",Cilka's Journey: A Novel (Tattooist of Auschwitz Book 2)
4.3,,,"Karin Slaughter (Author), Kathleen Early (Narrator), Blackstone Audio, Inc. (Publisher) & 0 more","[""Books"",""Mystery, Thriller & Suspense"",""Mystery"",""Women Sleuths""]",Amazon,"When a brutal murder reopens the cold case of her sister's disappearance, a woman uncovers a horrifying truth about her family and a deadly, organized network of violence.",Pretty Girls
4.8,In Stock.,10.99,Joyce Meyer,"[""Books"",""Christian Books & Bibles"",""Christian Living""]",AJ's Pop-up Shop,Joyce Meyer's *Battlefield of the Mind* teaches readers how to identify and overcome negative thought patterns that hinder their lives by taking control of their minds.,Battlefield of the Mind: Winning the Battle in Your Mind
4.6,,,"James Patterson (Author), Maxine Paetro (Author), January LaVoy (Narrator), Little, Brown & Company (Publisher) & 1 more","[""Books"",""Mystery, Thriller & Suspense"",""Mystery"",""Police Procedurals""]",Amazon,"In James Patterson and Maxine Paetro's ""21st Birthday,"" a young woman's milestone celebration turns deadly when a series of shocking events, recounted by narrator January LaVoy and published by Little, Brown & Company, expose a dark family secret.",21st Birthday
4.5,In Stock.,9.44,Sun Tzu,"[""Books"",""History"",""Asia""]",Academic Book Solutions,"This ""Chump Change Edition"" of *The Art of War* distills Sun Tzu's timeless strategies for success into easily digestible, practical advice for the modern, budget-conscious strategist.",The Art of War (Chump Change Edition)
4.8,In Stock.,17.17,Michelle Alexander,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",Mostly Tomatos,"Michelle Alexander argues that the U.S. criminal justice system, under the guise of colorblindness, functions as a new system of racial control, disproportionately incarcerating Black Americans and perpetuating systemic discrimination.",The New Jim Crow: Mass Incarceration in the Age of Colorblindness
4.4,In Stock.,8.79,Fiona Valpy,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Goodwill Industries of Houston,"In Fiona Valpy's ""The Skylark's Secret,"" a young woman discovers a hidden family history and a surprising connection to the past through an old French farmhouse and the echoes of wartime secrets.",The Skylark's Secret
4.4,In Stock.,7.35,Emily Henry,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Clickgoodwill,"Two rival authors, one who writes literary fiction and the other romance, swap genres for the summer and discover unexpected love and inspiration.",Beach Read
4.5,,,Alex Michaelides,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",Amazon,"Alicia Berenson, a famous painter who hasn't spoken since murdering her husband, becomes the obsession of psychotherapist Theo Faber, who will stop at nothing to uncover the truth behind her silence.",The Silent Patient
4.7,In Stock.,10.5,Dustin Brady,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",saveherenow,"In *Trapped in a Video Game (Volume 1)*, Jesse is pulled into his favorite video game and must battle his way through levels and defeat a villain to escape.",Trapped in a Video Game (Volume 1)
4.8,In Stock.,2.67,School Zone,"[""Books"",""Education & Teaching"",""Schools & Teaching""]",Amazon,"These flashcards help young learners aged 5 and up master early reading skills through phonics and sight words, progressing from kindergarten to first grade levels.","School Zone - Sight Words Flash Cards - Ages 5 and Up, Kindergarten to 1st Grade, Phonics, Beginning Reading, Sight Reading, Early-Reading Words, and More"
4.7,In Stock.,9.99,Garth Stein,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",R&K Accounting,"This novel tells the heartwarming story of Enzo, a philosophical dog who narrates his life with his human family, offering a unique perspective on love, loss, and the art of living.",The Art of Racing in the Rain: A Novel
